Rsq	Adj_Rsq	Fstat	EtaSq	Fstat_	pval
Extract ID	0.904754953995698	0.879620844633452	35.997096254969	0.904754953995698	35.997096254969	1.40195389118514e-83
Site	0.187713083791874	0.147098737981468	4.62184186514161	0.187713083791874	4.62184186514161	3.768458716612e-07
Subspecies	0.0936926022049756	0.0836225200072531	9.304055355791	0.0936926022049753	9.30405535579097	7.10511680548984e-06
Total DNA Concentration (ng/ul)	0.0135406906850411	0.00991400204785375	3.7336237101243	0.013540690685041	3.73362371012429	0.0543659096158808
Endogenous DNA (qPCR - pg/ul)	0.0494812800645222	0.0459867259471124	14.1595403596719	0.0494812800645221	14.1595403596718	0.000205725224380131
% Endogenous DNA	0.110384773419163	0.107114129203792	33.7501623993215	0.110384773419163	33.7501623993215	1.74722205257879e-08
Average Fragment Size	0.00337144503444179	-0.00029263053528461	0.920135234736333	0.00337144503444177	0.920135234736329	0.338291341436337
Sequencing Batch	0.313978334813898	0.308915444295919	62.0156279696238	0.313978334813898	62.0156279696238	6.66463157178562e-23
Pool	0.111243675394294	0.104684588127831	16.9602371298052	0.111243675394294	16.9602371298052	1.14830282115827e-07
Capture Pool	0.365005781974262	0.32283819718349	8.65607512939993	0.365005781974261	8.65607512939992	1.90629813962291e-17
Starting DNA (ug)	0.0564575086349863	0.0529886024167326	16.2753055524826	0.0564575086349864	16.2753055524826	7.12226997335175e-05
