Rsq	Adj_Rsq	Fstat	pval
Extract ID	0.849743069670141	0.82271514622666	31.4394508126779	9.1503247037513e-104
Site	0.159653167974972	0.130443251353781	5.46571803149719	4.34870393520905e-09
Subspecies	0.0753463887492676	0.0681225324113712	10.4302169402235	1.30217388071545e-06
Total DNA Concentration (ng/ul)	0.01131993436211	0.00875858704180454	4.41952337832895	0.0361772317542944
Endogenous DNA (qPCR - pg/ul)	0.0408204386270253	0.0383355174835719	16.427257152433	6.11543602418616e-05
% Endogenous DNA	0.136585370472608	0.134348545007511	61.0621492842726	5.29905082830192e-14
Average Fragment Size	0.0297089211116151	0.0271952136533551	11.8187663460962	0.000650219952772086
Sequencing Batch	0.0901996947195981	0.0854734593674921	19.0848927316761	1.25060470243162e-08
Pool	0.141068898206175	0.136606918456596	31.6157638813817	1.93632516521186e-13
Capture Pool	0.220817315125121	0.185017029603842	6.16803223521431	1.06899740579083e-12
Starting DNA  (ug)	0.0681969142020297	0.0657829165704287	28.2506135504373	1.80676197470437e-07
Production Reads	0.18224004383969	0.180121494730467	86.0211561989597	1.28808500388157e-18
