Rsq	Adj_Rsq	Fstat	EtaSq	Fstat_	pval
Extract ID	0.847452555052403	0.807196979302343	21.0518056011442	0.847452555052403	21.0518056011442	2.9276896799824e-62
Site	0.271422234579165	0.234993346308123	7.45074163558609	0.271422234579164	7.45074163558608	1.92258534696805e-12
Subspecies	0.0890538582007371	0.0789322344029675	8.79837662217411	0.0890538582007368	8.79837662217408	1.3825059109125e-05
Total DNA Concentration (ng/ul)	0.0464772931970449	0.0429716950102693	13.2580206631709	0.0464772931970449	13.2580206631709	0.000324854588910993
Endogenous DNA (qPCR - pg/ul)	0.0728173834170077	0.0694086237972174	21.3618417075373	0.0728173834170077	21.3618417075373	5.87972890895189e-06
% Endogenous DNA	0.0847053726120766	0.0813403188349152	25.1720710043237	0.0847053726120766	25.1720710043237	9.48151274822221e-07
Average Fragment Size	0.00076006385644262	-0.00291361237937915	0.206894622076725	0.000760063856442613	0.206894622076723	0.649575151300521
Sequencing Batch	0.19763412498351	0.191712605610694	33.3755768647504	0.19763412498351	33.3755768647504	1.10272426087654e-13
Pool	0.105655580394489	0.0990552525745226	16.0076261780312	0.105655580394489	16.0076261780312	2.68472991400278e-07
Capture Pool	0.263713397878477	0.214819365706345	5.39357026129629	0.263713397878477	5.39357026129629	3.00693691207735e-10
Starting DNA (ug)	0.0393227194498716	0.0357908176831433	11.1335824286801	0.0393227194498717	11.1335824286801	0.000965918984650143
