Rsq	Adj_Rsq	Fstat	pval
Extract ID	0.868156281479523	0.844440490648096	36.6066764397785	8.19871655279116e-113
Site	0.150470923543727	0.120941837998456	5.09568517836551	2.42551058870809e-08
Subspecies	0.0607047671155016	0.0533665231085915	8.27238329201622	2.40457780827591e-05
Total DNA Concentration (ng/ul)	0.0119177194747933	0.00935792082058295	4.65572534589428	0.0315664953761928
Endogenous DNA (qPCR - pg/ul)	0.0473518710273285	0.0448838706932024	19.186330881959	1.52935092804924e-05
% Endogenous DNA	0.167797671242579	0.165641706660306	77.8295119605645	3.93341634901163e-17
Average Fragment Size	0.0368346336285863	0.0343393865654479	14.7619184379513	0.00014256483541902
Sequencing Batch	0.0599454206746571	0.0550620202625774	12.2753441487973	6.79150228566245e-06
Pool	0.167530411757473	0.163205894415954	38.7396785645918	4.687189805506e-16
Capture Pool	0.233091900667589	0.197855582590154	6.61510377319638	8.41034937483095e-14
Starting DNA  (ug)	0.0387902891331495	0.0363001085350487	15.5772995592112	9.41025779484473e-05
Production Reads	0.231786621565225	0.229796431465653	116.464563669107	6.60977972832601e-24
