Rsq	Adj_Rsq	Fstat	EtaSq	Fstat_	pval
Extract ID	0.91895579681331	0.897569132083489	42.9686352885096	0.91895579681331	42.9686352885096	5.72549280367982e-91
Site	0.219739101576886	0.18072605665573	5.63245196628391	0.219739101576886	5.6324519662839	4.63174941160363e-09
Subspecies	0.0964097171957753	0.0863698251646173	9.60266473947877	0.096409717195775	9.60266473947874	4.80071851632163e-06
Total DNA Concentration (ng/ul)	0.0170259656247577	0.0134120904983782	4.71127668481855	0.0170259656247578	4.71127668481855	0.0308305357019687
Endogenous DNA (qPCR - pg/ul)	0.0497479940339556	0.0462544204826099	14.2398587872273	0.0497479940339557	14.2398587872273	0.000197549413554816
% Endogenous DNA	0.112945964437883	0.109684736365963	34.6329548093836	0.112945964437883	34.6329548093836	1.16778807943897e-08
Average Fragment Size	0.0071296634350399	0.00347940484472764	1.9531940706781	0.0071296634350399	1.9531940706781	0.163381904487426
Sequencing Batch	0.28230159646584	0.277004929281087	53.2979676877611	0.282301596465841	53.2979676877612	3.0209136680243e-20
Pool	0.11869197568997	0.11218785742938	18.2487419408011	0.11869197568997	18.2487419408011	3.67118825318359e-08
Capture Pool	0.341433214860691	0.297700264285034	7.80723025467989	0.341433214860691	7.80723025467988	1.24205331714025e-15
Starting DNA (ug)	0.060778118006069	0.0573250963810914	17.6014298799712	0.0607781180060691	17.6014298799712	3.69063990544912e-05
