Rsq	Adj_Rsq	Fstat	pval
Extract ID	0.832676564406978	0.802578751297258	27.665683263149	2.36935775930489e-96
Site	0.168410563316715	0.139505048137884	5.82624327138968	8.13967722411013e-10
Subspecies	0.0737547077876741	0.0665184164422653	10.1923353092284	1.79366224323981e-06
Total DNA Concentration (ng/ul)	0.0168359329736574	0.0142888758051953	6.60995488523853	0.0105148267507242
Endogenous DNA (qPCR - pg/ul)	0.0455112189335612	0.0430384500706948	18.4049627998004	2.26016013612964e-05
% Endogenous DNA	0.123537409662165	0.121266781189787	54.406703326853	1.00554139424551e-12
Average Fragment Size	0.0217906801350192	0.0192564590990996	8.59857124779631	0.00356474222007689
Sequencing Batch	0.0440157546498308	0.0390496027259338	8.86315105223185	0.000172491030238905
Pool	0.153789366347904	0.149393466952309	34.9847329313317	1.09548668598352e-14
Capture Pool	0.197452740313693	0.160578947301078	5.35482585819544	1.11939136902544e-10
Starting DNA  (ug)	0.0210473856951731	0.0185112390259897	8.29896233956742	0.00418812227677441
Production Reads	0.182015271176872	0.17989613975505	85.8914502907113	1.35906721979108e-18
